日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20160905,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6987.41,25.00,0.36,0.00,0.00,457
20160906,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7072.33,84.92,1.22,0.00,0.00,457
20160907,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7068.30,-4.03,-0.06,0.00,0.00,457
20160908,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7079.91,11.61,0.16,0.00,0.00,457
20160909,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7038.84,-41.07,-0.58,0.00,0.00,457
20160912,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6880.52,-158.32,-2.25,0.00,0.00,457
20160913,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6898.85,18.33,0.27,0.00,0.00,457
20160914,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6862.08,-36.77,-0.53,0.00,0.00,457
20160919,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6922.25,60.17,0.88,0.00,0.00,457
20160920,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6914.91,-7.34,-0.11,0.00,0.00,457
20160921,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6930.38,15.47,0.22,0.00,0.00,457
20160922,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6968.05,37.67,0.54,0.00,0.00,457
20160923,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6945.14,-22.92,-0.33,0.00,0.00,457
20160926,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6822.21,-122.93,-1.77,0.00,0.00,457
20160927,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6861.99,39.79,0.58,0.00,0.00,457
20160928,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6854.22,-7.77,-0.11,0.00,0.00,457
20160929,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6877.48,23.25,0.34,0.00,0.00,457
20160930,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6903.04,25.56,0.37,0.00,0.00,457
20161010,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7010.07,107.04,1.55,0.00,0.00,457
20161011,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7044.78,34.70,0.50,0.00,0.00,457
20161012,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7037.13,-7.65,-0.11,0.00,0.00,457
20161013,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7041.38,4.25,0.06,0.00,0.00,457
20161014,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7035.14,-6.24,-0.09,0.00,0.00,457
20161017,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6979.43,-55.71,-0.79,0.00,0.00,456
20161018,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7070.44,91.01,1.30,0.00,0.00,456
20161019,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7060.49,-9.94,-0.14,0.00,0.00,456
20161020,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7071.09,10.60,0.15,0.00,0.00,456
20161021,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7071.10,0.01,0.00,0.00,0.00,456
20161024,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7117.76,46.65,0.66,0.00,0.00,456
20161025,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7127.13,9.37,0.13,0.00,0.00,456
20161026,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7096.86,-30.27,-0.42,0.00,0.00,456
20161027,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7087.71,-9.16,-0.13,0.00,0.00,456
20161028,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7051.57,-36.13,-0.51,0.00,0.00,456
20161031,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7046.37,-5.21,-0.07,0.00,0.00,456
20161101,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7100.46,54.10,0.77,0.00,0.00,456
20161102,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7054.39,-46.07,-0.65,0.00,0.00,456
20161103,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7094.00,39.61,0.56,0.00,0.00,456
20161104,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7065.40,-28.61,-0.40,0.00,0.00,456
20161107,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7062.47,-2.93,-0.04,0.00,0.00,456
20161108,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7096.00,33.53,0.47,0.00,0.00,456
20161109,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7052.14,-43.86,-0.62,0.00,0.00,456
20161110,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7123.00,70.87,1.00,0.00,0.00,456
20161111,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7154.13,31.12,0.44,0.00,0.00,456
20161114,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7173.96,19.83,0.28,0.00,0.00,456
20161115,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7186.30,12.35,0.17,0.00,0.00,456
20161116,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7191.19,4.88,0.07,0.00,0.00,456
20161117,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7186.67,-4.52,-0.06,0.00,0.00,456
20161118,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7157.57,-29.09,-0.40,0.00,0.00,456
20161121,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7179.11,21.53,0.30,0.00,0.00,456
20161122,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7231.31,52.20,0.73,0.00,0.00,456
20161123,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7218.63,-12.68,-0.18,0.00,0.00,456
20161124,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7208.02,-10.62,-0.15,0.00,0.00,456
20161125,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7246.83,38.81,0.54,0.00,0.00,456
20161128,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7262.16,15.33,0.21,0.00,0.00,456
20161129,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7262.38,0.22,0.00,0.00,0.00,456
20161130,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7224.87,-37.51,-0.52,0.00,0.00,456
20161201,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7259.84,34.97,0.48,0.00,0.00,456
20161202,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7169.42,-90.42,-1.25,0.00,0.00,456
20161205,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7106.77,-62.66,-0.87,0.00,0.00,456
20161206,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7102.77,-3.99,-0.06,0.00,0.00,456
20161207,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7151.33,48.55,0.68,0.00,0.00,456
20161208,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7124.33,-27.00,-0.38,0.00,0.00,456
20161209,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7126.74,2.41,0.03,0.00,0.00,456
20161212,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6881.24,-245.50,-3.44,0.00,0.00,456
20161213,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6897.90,16.66,0.24,0.00,0.00,456
20161214,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6850.82,-47.09,-0.68,0.00,0.00,456
20161215,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6827.94,-22.88,-0.33,0.00,0.00,456
20161216,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6858.95,31.01,0.45,0.00,0.00,456
20161219,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6840.99,-17.96,-0.26,0.00,0.00,456
20161220,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6815.03,-25.96,-0.38,0.00,0.00,456
20161221,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6872.99,57.96,0.85,0.00,0.00,456
20161222,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6869.00,-3.99,-0.06,0.00,0.00,456
20161223,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6812.73,-56.28,-0.82,0.00,0.00,456
20161226,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6837.66,24.93,0.37,0.00,0.00,456
20161227,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6832.73,-4.93,-0.07,0.00,0.00,456
20161228,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6808.73,-24.00,-0.35,0.00,0.00,456
20161229,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6794.84,-13.88,-0.20,0.00,0.00,456
20161230,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6811.57,16.72,0.25,0.00,0.00,456
20170103,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6863.80,52.24,0.77,0.00,0.00,456
20170104,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6925.54,61.74,0.90,0.00,0.00,456
20170105,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6930.39,4.84,0.07,0.00,0.00,456
20170106,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6885.38,-45.01,-0.65,0.00,0.00,456
20170109,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6927.20,41.82,0.61,0.00,0.00,456
20170110,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6905.20,-21.99,-0.32,0.00,0.00,456
20170111,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6851.17,-54.04,-0.78,0.00,0.00,456
20170112,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6801.39,-49.78,-0.73,0.00,0.00,456
